YEAR,EDSA,C5,COMMON WEALTH
2010,"322,956","201,570","191,779"
2011,"325,335","198,125","204,233"
2012,"326,504","157,987","197,809"
2013,"342,612","175,928","237,577"
2014,"360,417","175,429","233,101"
2015,"367,675","194,119","259,195"
2016,"364,781","218,155","272,255"
2017,"367,728","218,751","272,720"
2018,"383,828","235,744","244,916"
2019,"405,882","236,060","317,471"
2020,"328,114","192,418","282,137"
2021,"372,271","212,285","302,316"
2022,"385,096","211,819","346,184"
2023,"407,342","238,695","407,988"
2024,"419,952","250,762","413,345"
2025,"421,728","225,885","400,644"